codigo_postal,balanced_kmeans,latitud,longitud,zone,subzone
54684,red,19.8246116638184,-99.1993026733398,Cuautitlan,2.0
54685,red,19.827766418457,-99.209846496582,Cuautitlan,2.0
54687,red,19.853120803833,-99.21240234375,Cuautitlan,2.0
54690,gold,19.7759437561035,-99.308723449707,Cuautitlan,2.0
54693,red,19.853723526001,-99.2574996948242,Cuautitlan,2.0
54694,red,19.8447761535645,-99.2339401245117,Cuautitlan,2.0
54696,red,19.876350402832,-99.2100067138672,Cuautitlan,2.0
54697,red,19.7881088256836,-99.2794876098633,Cuautitlan,2.0
54700,gold,19.6609916687012,-99.2099914550781,Cuautitlan,2.0
54710,gold,19.6778469085693,-99.2575988769531,Cuautitlan,2.0
54712,gold,19.6732330322266,-99.1943969726563,Cuautitlan,2.0
54713,gold,19.7156276702881,-99.1830139160156,Cuautitlan,1.0
54714,gold,19.6909656524658,-99.1782684326172,Cuautitlan,1.0
54715,gold,19.6873207092285,-99.2195129394531,Cuautitlan,2.0
54716,gold,19.6975917816162,-99.2036743164063,Cuautitlan,1.0
54719,gold,19.6978549957275,-99.2282409667969,Cuautitlan,2.0
54720,gold,19.6606960296631,-99.2489700317383,Cuautitlan,2.0
54725,gold,19.6676750183105,-99.2242813110352,Cuautitlan,2.0
54729,gold,19.681957244873,-99.2067108154297,Cuautitlan,2.0
54730,gold,19.6627235412598,-99.1925354003906,Cuautitlan,2.0
54740,gold,19.6460380554199,-99.2114410400391,Cuautitlan,2.0
54743,blue,19.6264610290527,-99.2094573974609,Cuautitlan,2.0
54744,blue,19.6272678375244,-99.2232131958008,Cuautitlan,2.0
54745,gold,19.6468448638916,-99.2461318969727,Cuautitlan,2.0
54750,blue,19.6381549835205,-99.1995620727539,Cuautitlan,2.0
54753,blue,19.6319065093994,-99.1987609863281,Cuautitlan,2.0
54759,blue,19.6492462158203,-99.1845169067383,Cuautitlan,2.0
54760,blue,19.6196193695068,-99.2341766357422,Cuautitlan,2.0
54763,blue,19.6183109283447,-99.2067337036133,Cuautitlan,2.0
54764,blue,19.5910015106201,-99.1928329467773,Cuautitlan,2.0
54765,blue,19.6124649047852,-99.2344360351563,Cuautitlan,2.0
54766,gold,19.6152305603027,-99.2708892822266,Cuautitlan,2.0
54767,blue,19.6201438903809,-99.213020324707,Cuautitlan,2.0
54769,blue,19.6008529663086,-99.1878890991211,Cuautitlan,2.0
54770,gold,19.7470016479492,-99.1830673217773,Cuautitlan,1.0
54783,gold,19.7503280639648,-99.1562805175781,Cuautitlan,1.0
54784,gold,19.7293701171875,-99.1583786010742,Cuautitlan,1.0
54785,gold,19.7311611175537,-99.1929931640625,Cuautitlan,1.0
54786,gold,19.7653636932373,-99.1957855224609,Cuautitlan,1.0
54800,blue,19.6666507720947,-99.1791076660156,Cuautitlan,1.0
54803,blue,19.6817722320557,-99.1553115844727,Cuautitlan,1.0
54804,gold,19.6786155700684,-99.1888122558594,Cuautitlan,1.0
54805,gold,19.6691837310791,-99.1830368041992,Cuautitlan,1.0
54807,blue,19.6683673858643,-99.1780853271484,Cuautitlan,1.0
54830,gold,19.7155647277832,-99.1586303710938,Cuautitlan,1.0
54831,gold,19.7253799438477,-99.1704330444336,Cuautitlan,1.0
54834,gold,19.7261905670166,-99.1900482177734,Cuautitlan,1.0
54840,gold,19.7047309875488,-99.1689453125,Cuautitlan,1.0
54850,blue,19.6750354766846,-99.1587905883789,Cuautitlan,1.0
54855,blue,19.6740951538086,-99.1606369018555,Cuautitlan,1.0
54857,blue,19.6687393188477,-99.1642456054688,Cuautitlan,1.0
54858,blue,19.6705017089844,-99.1692352294922,Cuautitlan,1.0
