ID_Credito,ID_Credito_original,ID_Tienda
f20ecd,728494e8-34b9-47c8-9acc-a4bceef20ecd,
e748a7,7302447f-bebf-45e0-8c90-eacfd9e748a7,
d3fbd0,7336f0ea-e17c-4454-9768-ef6738d3fbd0,
61bc72,7338dac3-6315-4ed1-90e7-a98f7e61bc72,
5afc62,7346d2c0-f0b7-46bb-aba9-22cf745afc62,
a6fa1b,739c4b3c-5dfe-45e7-8954-eda002a6fa1b,
aac095,745b252a-c9a6-4752-9b1d-efe608aac095,
3b8708,7486fcfe-aa6c-4a65-a8d8-7031043b8708,
3e1a59,75bc8324-2ef9-4e53-98b8-fe4fb53e1a59,
ea585a,7606f34f-0272-4b9f-945d-334acfea585a,
b36230,7737f0af-f259-40ae-b106-2ab89ab36230,
79df63,77d0a4d2-5c85-4232-9306-22d9f579df63,
2c4b6a,785ea37d-0911-435b-98ca-f468952c4b6a,
acd302,788c4d31-e610-42b2-9231-064b70acd302,
3ac007,7a72fd91-57db-439e-9aba-f18ce63ac007,
fde5b5,7aec8ad5-7a9b-4b8a-b2bb-c2a170fde5b5,
e97dad,7bbefa13-ae0f-4fca-81b4-edafc8e97dad,
5e734a,7bdb2969-638b-4036-b226-0379535e734a,
87690e,7c4494db-d07c-455d-b9d6-91895f87690e,
827763,7cfbaeaa-dadc-4579-9085-702349827763,
3c10c9,7d48bd09-66b7-420a-80ab-a4dc9b3c10c9,
c00116,7ea2aeac-4b2d-43e9-ac29-ce6896c00116,
76ed83,7f9aefc5-61ab-4371-944c-61ab9076ed83,
fc4f65,7ff174d6-44c5-4209-9d5b-b263effc4f65,
67d9f1,8163ba2a-d480-4040-91e2-7699d467d9f1,
6eaaf9,823b7672-6281-411a-890e-e00d836eaaf9,
755fd6,8267938f-d3e8-41a1-82a4-78f780755fd6,
31f1a5,84032d26-6bff-4486-b2dd-c2d65d31f1a5,
08e545,85ae5116-6fe0-4b35-b793-2c994d08e545,
224f0c,85ea8c0f-a15d-4588-8c25-e41630224f0c,
25aff4,87854176-bf8f-49f2-a5b5-55489225aff4,
