zone,zip_code,latitude,longitude,balanced_kmeans,subzone,Cuentas
Nezahualcoyotl,56605,19.2795377,-98.8915153,green,1.0,2
Nezahualcoyotl,56606,19.2837544,-98.9091842,green,1.0,1
Nezahualcoyotl,56616,19.2748096,-98.9210483,green,1.0,1
Nezahualcoyotl,56618,19.323903125,-98.95318344166668,green,3.0,1
Nezahualcoyotl,56624,19.2076377,-98.9669736,green,1.0,1
Nezahualcoyotl,56643,19.299004333333336,-98.86750776666666,green,1.0,1
Nezahualcoyotl,56644,19.276841266666665,-98.83189393333332,green,1.0,4
Nezahualcoyotl,56776,19.105607733333333,-98.8051659,green,1.0,1
Nezahualcoyotl,57000,19.402993163,-99.0002955945,blue,1.0,40
Nezahualcoyotl,57100,19.494121537142856,-99.05944349142857,red,1.0,1
Nezahualcoyotl,57120,19.4824799,-99.0513756,red,1.0,2
Nezahualcoyotl,57150,19.4740957,-99.0579809,red,1.0,1
Nezahualcoyotl,57170,19.470046557894737,-99.05147634736842,red,1.0,1
Nezahualcoyotl,57200,19.432998,-99.0595219,red,1.0,19
Nezahualcoyotl,57210,19.42363997401767,-99.04407675406154,gold,2.0,22
Nezahualcoyotl,57300,19.4175252,-99.0248171,gold,1.0,4
Nezahualcoyotl,57310,19.4178516,-99.0274296,gold,1.0,7
Nezahualcoyotl,57410,19.4170075,-99.0524894,gold,3.0,3
Nezahualcoyotl,57430,19.4115111,-99.0603425,gold,3.0,2
Nezahualcoyotl,57440,19.4086051,-99.0516627,gold,3.0,3
Nezahualcoyotl,57450,19.4091352,-99.0536662,gold,3.0,1
Nezahualcoyotl,57460,19.3993136,-99.0542703,gold,3.0,3
Nezahualcoyotl,57500,19.4115763,-99.0520802,gold,3.0,6
Nezahualcoyotl,57510,19.4085109,-99.0312553,gold,1.0,3
Nezahualcoyotl,57520,19.4006743,-99.0533074,gold,3.0,3
Nezahualcoyotl,57530,19.4027236,-99.0327922,gold,1.0,1
Nezahualcoyotl,57600,19.4040156,-99.0393265,gold,1.0,3
Nezahualcoyotl,57620,19.402717,-99.0482859,gold,3.0,3
Nezahualcoyotl,57700,19.43922815,-99.03549165,gold,2.0,3
Nezahualcoyotl,57710,19.38826393,-99.00419772,blue,2.0,7
Nezahualcoyotl,57720,19.4216539,-98.9852791,blue,1.0,2
Nezahualcoyotl,57730,19.3936661,-99.0285077,gold,1.0,4
Nezahualcoyotl,57740,19.393806545454545,-99.02535909090908,gold,1.0,4
Nezahualcoyotl,57750,19.3877465,-99.0242829,blue,2.0,4
Nezahualcoyotl,57800,19.3910115,-98.98481555,blue,2.0,10
Nezahualcoyotl,57810,19.390685,-98.9750879,blue,2.0,1
Nezahualcoyotl,57820,19.388931733333333,-98.99669711666668,blue,2.0,9
Nezahualcoyotl,57830,19.3829604,-98.994042,blue,2.0,2
Nezahualcoyotl,57840,19.3758861,-98.982206925,green,2.0,2
Nezahualcoyotl,57940,19.3719112,-98.9828132,green,2.0,4
Puebla,72000,19.043450862616822,-98.2005281551402,blue,2.0,1
Puebla,72019,19.0899186,-98.1870763,red,3.0,12
Puebla,72044,19.0735061,-98.2118141,red,1.0,1
Puebla,72070,19.066104181818183,-98.21256582727273,red,1.0,1
Puebla,72080,19.05942045,-98.2024523,blue,2.0,2
Puebla,72104,19.0357601,-98.2657394,green,1.0,1
Puebla,72116,19.08820675,-98.2332020845497,red,1.0,1
Puebla,72120,19.0776407,-98.2485309,red,1.0,2
Puebla,72160,19.05257723846153,-98.22115278461538,red,1.0,1
Puebla,72200,18.994458,-98.2469916,green,2.0,2
Puebla,72210,19.07422755,-98.17208165,blue,2.0,3
