Cosecha,KPI,Mes,Value
2022-02,Par30,M013,0.40348847902232376
2022-03,Par30,M013,0.38043768065363776
2022-04,Par30,M013,0.4307891665492174
2022-05,Par30,M013,0.5248065758600726
2022-06,Par30,M013,0.45936300267007546
2022-07,Par30,M013,0.6126818181035493
2021-08,Par30,M014,0.26710449712992296
2021-09,Par30,M014,0.3973450019768318
2021-10,Par30,M014,0.32288893267008384
2021-11,Par30,M014,0.34495597264826555
2021-12,Par30,M014,0.16648958334957015
2022-01,Par30,M014,0.3762702187532107
2022-02,Par30,M014,0.42734348918534865
2022-03,Par30,M014,0.42142572119800464
2022-04,Par30,M014,0.43414701639046493
2022-05,Par30,M014,0.6084352284483174
2022-06,Par30,M014,0.49899787723119743
2021-08,Par30,M015,0.29346634234075436
2021-09,Par30,M015,0.4311547012613659
2021-10,Par30,M015,0.32417017773185963
2021-11,Par30,M015,0.38344037823675553
2021-12,Par30,M015,0.22061570597463082
2022-01,Par30,M015,0.401165431378868
2022-02,Par30,M015,0.5498345269830271
2022-03,Par30,M015,0.4372347293551861
2022-04,Par30,M015,0.4827472733427075
2022-05,Par30,M015,0.6173241885530786
2021-08,Par30,M016,0.3009415773327346
2021-09,Par30,M016,0.43074995244589925
2021-10,Par30,M016,0.39458825083623994
2021-11,Par30,M016,0.3918737571431738
2021-12,Par30,M016,0.35630543120887503
2022-01,Par30,M016,0.4454852131575677
2022-02,Par30,M016,0.4879148548579643
2022-03,Par30,M016,0.47915909491876507
2022-04,Par30,M016,0.5104577538053428
2021-08,Par30,M017,0.30925774969325914
2021-09,Par30,M017,0.4559735000287546
2021-10,Par30,M017,0.38289564940970283
2021-11,Par30,M017,0.49177252379560615
2021-12,Par30,M017,0.38584428470679366
2022-01,Par30,M017,0.47632053294457327
2022-02,Par30,M017,0.5525365621425392
2022-03,Par30,M017,0.48592771508816496
2021-08,Par30,M018,0.33816739939482227
2021-09,Par30,M018,0.4818711001394136
2021-10,Par30,M018,0.4959970424418137
2021-11,Par30,M018,0.5203513195395651
2021-12,Par30,M018,0.37327971911065727
2022-01,Par30,M018,0.4904603883246856
2022-02,Par30,M018,0.5436741833987562
2021-08,Par30,M019,0.3912645034224586
2021-09,Par30,M019,0.5166771128044674
2021-10,Par30,M019,0.47932182410131313
2021-11,Par30,M019,0.5841613542285206
2021-12,Par30,M019,0.39867562796992406
2022-01,Par30,M019,0.47016415794298116
2021-08,Par30,M020,0.3896245052542249
2021-09,Par30,M020,0.5045993438410135
2021-10,Par30,M020,0.46123345400500204
2021-11,Par30,M020,0.6699560739938257
2021-12,Par30,M020,0.42756216945191894
2021-08,Par30,M021,0.3728758348802992
2021-09,Par30,M021,0.5420040528233826
2021-10,Par30,M021,0.48558722724493886
2021-11,Par30,M021,0.6877622901448378
2021-08,Par30,M022,0.38760251675933494
2021-09,Par30,M022,0.5941885758811539
2021-10,Par30,M022,0.5014543281363253
2021-08,Par30,M023,0.42816217720121424
2021-09,Par30,M023,0.6756036367367961
2021-08,Par30,M024,0.44536294364585016
Promedio General,Par30,M000,0.0
Promedio General,Par30,M001,0.009714808275069932
Promedio General,Par30,M002,0.04751549327975578
Promedio General,Par30,M003,0.10168844900293285
Promedio General,Par30,M004,0.13686949239352597
Promedio General,Par30,M005,0.1749108386578339
Promedio General,Par30,M006,0.2163345134859078
Promedio General,Par30,M007,0.24536307195581997
Promedio General,Par30,M008,0.26806201679058395
Promedio General,Par30,M009,0.29930423473639844
Promedio General,Par30,M010,0.332406004220998
Promedio General,Par30,M011,0.3516017582171193
Promedio General,Par30,M012,0.3708833736879591
Promedio General,Par30,M013,0.39114736817328216
Promedio General,Par30,M014,0.40829904713208787
Promedio General,Par30,M015,0.4357772377853927
Promedio General,Par30,M016,0.43883892675225705
Promedio General,Par30,M017,0.4565675267679454
Promedio General,Par30,M018,0.47356682464745126
Promedio General,Par30,M019,0.4843989412267413
Promedio General,Par30,M020,0.5133875438142749
Promedio General,Par30,M021,0.5486693413811697
Promedio General,Par30,M022,0.4907106808374184
Promedio General,Par30,M023,0.5473967641084739
Promedio General,Par30,M024,0.44536294364585016
2021-08,Par8,M000,0.0
2021-09,Par8,M000,0.0
2021-10,Par8,M000,0.0
2021-11,Par8,M000,0.0
2021-12,Par8,M000,0.0
2022-01,Par8,M000,0.0
2022-02,Par8,M000,0.0
2022-03,Par8,M000,0.006879429476179646
2022-04,Par8,M000,0.006189892544664483
2022-05,Par8,M000,0.0021819254393787026
2022-06,Par8,M000,0.0
2022-07,Par8,M000,0.009196792116855076
2022-08,Par8,M000,0.012252520002284903
2022-09,Par8,M000,0.0060182140526044165
2022-10,Par8,M000,0.01013315600113647
2022-11,Par8,M000,0.028906804043406818
2022-12,Par8,M000,0.018390582050452096
2023-01,Par8,M000,0.0
2023-02,Par8,M000,0.0
2023-03,Par8,M000,0.0
2023-04,Par8,M000,0.0
2023-05,Par8,M000,0.0
2023-06,Par8,M000,0.0
2023-07,Par8,M000,0.0
2023-08,Par8,M000,0.0
2021-08,Par8,M001,0.010295248930717765
